ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
52668	"ENSG00000124496.12"	"TRERF1"	chr6	-	42232680	42232892	42224930	42228669	42236204	42236411
52669	"ENSG00000124496.12"	"TRERF1"	chr6	-	42232680	42232892	42224930	42228669	42243247	42243361
52670	"ENSG00000124496.12"	"TRERF1"	chr6	-	42232680	42232928	42228148	42228669	42236204	42236411
52671	"ENSG00000124496.12"	"TRERF1"	chr6	-	42236204	42236411	42224930	42228669	42243247	42243361
52672	"ENSG00000124496.12"	"TRERF1"	chr6	-	42236204	42236411	42232680	42232892	42243247	42243361
52673	"ENSG00000124496.12"	"TRERF1"	chr6	-	42254850	42254926	42246455	42246544	42256727	42256831
52674	"ENSG00000124496.12"	"TRERF1"	chr6	-	42259338	42259723	42258134	42258201	42264703	42264854
52675	"ENSG00000124496.12"	"TRERF1"	chr6	-	42263259	42263568	42259338	42259723	42264703	42264854
52676	"ENSG00000124496.12"	"TRERF1"	chr6	-	42263319	42263568	42259338	42259723	42264703	42264854
52677	"ENSG00000124496.12"	"TRERF1"	chr6	-	42362946	42363079	42300637	42300749	42451176	42451261
52678	"ENSG00000124496.12"	"TRERF1"	chr6	-	42362996	42363079	42300637	42300749	42451176	42451261
